name	color
Sun	#fbd462
Mercury	#d9d9d9
Venus	#ffffb3
Earth	#80b1d3
Mars	#fb8072
Asteroids	#ccebc5
Jupiter	#bc80bd
Saturn	#bebada
Comets	#8dd3c7
Interplanetary Space	#fccde5
Pluto	#b3de69
