name	launch	arrival	end	destination	type	success	link
Phobos 2 (DAS,Frog)	1988	1988	1988	Mars	flyby,lander	True	https://en.wikipedia.org/wiki/Phobos_program
Mars Observer	1992	1992	1993	Mars	orbiter	False	https://en.wikipedia.org/wiki/Mars_Observer
Mars 96	1996	1996	1996	Mars	orbiter,lander	False	https://en.wikipedia.org/wiki/Mars_96
Mars Pathfinder (Sojourner)	1996	1997	1997	Mars	rover	True	https://en.wikipedia.org/wiki/Mars_Pathfinder
Mars Global Surveyor	1996	1997	2006	Mars	orbiter	True	https://en.wikipedia.org/wiki/Mars_Global_Surveyor
Nozomi	1998	1998	2003	Mars	orbiter	False	https://en.wikipedia.org/wiki/Nozomi_(spacecraft)
Mars Climate Orbiter	1998	1998	1999	Mars	orbiter	False	https://en.wikipedia.org/wiki/Mars_Climate_Orbiter
Mars Polar Lander (Deep Space 2)	1999	1999	2000	Mars	lander	False	https://en.wikipedia.org/wiki/Mars_Polar_Lander
Mars Odyssey	2001	2001	2015	Mars	orbiter	True	https://en.wikipedia.org/wiki/2001_Mars_Odyssey
Mars Express (Beagle 2)	2003	2003	2015	Mars	orbiter,lander	True	https://en.wikipedia.org/wiki/Mars_Express
Mars Exploration Rovers (Spirit,Opportunity)	2003	2004	2015	Mars	rover	True	https://en.wikipedia.org/wiki/Mars_Exploration_Rover
Mars Reconnaissance Orbiter	2005	2006	2015	Mars	orbiter	True	https://en.wikipedia.org/wiki/Mars_Reconnaissance_Orbiter
Phoenix Mars Lander	2007	2008	2008	Mars	lander	True	https://en.wikipedia.org/wiki/Phoenix_(spacecraft)
Mars Science Laboratory (Curiosity)	2011	2012	2015	Mars	rover	True	https://en.wikipedia.org/wiki/Mars_Science_Laboratory
Fobos Grunt	2011	2011	2011	Mars	lander	False	https://en.wikipedia.org/wiki/Fobos-Grunt
Yinghuo-1	2011	2011	2011	Mars	orbiter	False	https://en.wikipedia.org/wiki/Yinghuo-1
MAVEN	2013	2014	2015	Mars	orbiter	True	https://en.wikipedia.org/wiki/MAVEN
Mars Orbiter Mission	2013	2014	2015	Mars	orbiter	True	https://en.wikipedia.org/wiki/Mars_Orbiter_Mission
Voyager 1	1977	1979	2015	Jupiter	explorer	True	https://en.wikipedia.org/wiki/Voyager_1
Voyager 2	1977	1979	2015	Jupiter	explorer	True	https://en.wikipedia.org/wiki/Voyager_2
Galileo	1989	1995	2003	Jupiter	orbiter	True	https://en.wikipedia.org/wiki/Galileo_(spacecraft)
Juno	2011	2015	2015	Jupiter	orbiter	True	https://en.wikipedia.org/wiki/Juno_(spacecraft)
Cassini (Huygens)	1997	2004	2015	Saturn	orbiter,lander	True	https://en.wikipedia.org/wiki/Cassini%E2%80%93Huygens
NEAR Shoemaker	1996	2000	2000	Asteroids	orbiter	True	https://en.wikipedia.org/wiki/NEAR_Shoemaker
Deep Space 1	1998	1999	2001	Asteroids	flyby	True	https://en.wikipedia.org/wiki/Deep_Space_1
Hayabusa (MINERVA)	2003	2005	2010	Asteroids	sample return	True	https://en.wikipedia.org/wiki/Hayabusa
Dawn	2007	2011	2015	Comets	orbiter	True	https://en.wikipedia.org/wiki/Dawn_(spacecraft)
Hayabusa 2 (MASCOT)	2014	2015	2015	Comets	sample return	True	https://en.wikipedia.org/wiki/Hayabusa_2
Giotto	1985	1986	1992	Comets	flyby	True	https://en.wikipedia.org/wiki/Giotto_(spacecraft)
Suisei	1985	1985	1992	Comets	flyby	True	https://en.wikipedia.org/wiki/Suisei_(spacecraft)
Sakigake	1985	1986	1995	Comets	flyby	True	https://en.wikipedia.org/wiki/Sakigake
Stardust	1999	2004	2011	Comets	sample return	True	https://en.wikipedia.org/wiki/Stardust_(spacecraft)
CONTOUR	2003	2003	2003	Comets	flyby	False	https://en.wikipedia.org/wiki/CONTOUR
Rosetta (Philoe)	2004	2014	2015	Comets	orbiter,lander	True	https://en.wikipedia.org/wiki/Rosetta_(spacecraft)
Deep Impact / EPOXI	2005	2005	2013	Comets	impactor	True	https://en.wikipedia.org/wiki/Deep_Impact_(spacecraft)
Pioneer 5	1960	1960	1960	Interplanetary Space	explorer	True	https://en.wikipedia.org/wiki/Pioneer_5
Pioneer 10	1972	1972	2003	Interplanetary Space	explorer	True	https://en.wikipedia.org/wiki/Pioneer_10
Pioneer 11	1973	1973	1995	Interplanetary Space	explorer	True	https://en.wikipedia.org/wiki/Pioneer_11
ICE	1978	1978	2015	Interplanetary Space	orbiter	True	https://en.wikipedia.org/wiki/International_Cometary_Explorer
WIND	1994	1994	2015	Interplanetary Space	orbiter	True	https://en.wikipedia.org/wiki/WIND_(spacecraft)
ACE	1997	1997	2015	Interplanetary Space	orbiter	True	https://en.wikipedia.org/wiki/Advanced_Composition_Explorer
Kepler	2009	2009	2015	Interplanetary Space	telescope	True	https://en.wikipedia.org/wiki/Kepler_(spacecraft)
New Horizons	2006	2015	2015	Pluto	flyby	True	https://en.wikipedia.org/wiki/New_Horizons
